Benchmarking M=256 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
105671300 	185849200 	75844000 	722778800 	253403800 	62856000 	251493500 	1169505100 	516625000 	9718500 	
90297700 	189115900 	74736000 	734418400 	273051600 	62735400 	255774800 	1141086000 	548524400 	9437300 	
107426300 	181502400 	77362800 	757453600 	250302300 	65670100 	266406000 	1163330900 	517919900 	9549900 	
106887600 	241484500 	77117800 	725314100 	252999700 	63014900 	251727400 	1152566800 	520846900 	9701600 	
104758700 	183302700 	77069000 	740250900 	250619300 	64867100 	261788800 	1161293900 	564496300 	9505600 	
106819300 	195919700 	76041200 	706782700 	249082100 	66269900 	282631300 	1142534000 	520771300 	9396100 	
1048	2016	766	7326	2557	646	2583	11557	5297	99	ms
1.00	0.52	1.37	0.14	0.41	1.62	0.41	0.09	0.20	10.51	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.850000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
105119600 	144627400 	59105100 	718675600 	226974600 	71244200 	205801300 	1150443600 	440128600 	7473600 	
95769800 	207047500 	59000800 	727908200 	212454700 	51133800 	189316400 	1147798900 	432893900 	7380900 	
107559500 	148202700 	58980000 	735959700 	234897000 	52013000 	190091800 	1141691300 	429695400 	8624900 	
109136800 	138606000 	54176200 	746267100 	209307500 	50929600 	194095600 	1155751800 	429847300 	7801800 	
110601800 	139998700 	58703100 	748149100 	210065600 	49566900 	194180300 	1151699700 	469437600 	7726900 	
106372000 	135380900 	56258400 	749804100 	211304200 	52243100 	191484900 	1160205100 	441520900 	7634100 	
112767000 	126491800 	58529200 	733955900 	209809400 	50992800 	192957500 	1177429900 	458963600 	7660500 	
115888700 	144547400 	58932800 	740696300 	214035400 	50870300 	205270200 	1151677500 	446353500 	7911100 	
102698200 	134871900 	58878200 	750786700 	206152600 	52628200 	190760500 	1154045900 	436118200 	7553800 	
107829500 	150141300 	60668800 	720225100 	211655800 	66354700 	216065800 	1147940900 	453444300 	7871000 	
1073	1469	583	7372	2146	547	1970	11538	4438	77	ms
1.00	0.73	1.84	0.15	0.50	1.96	0.55	0.09	0.24	13.83	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.900000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
112738000 	101321100 	45470000 	746560200 	158824500 	35173500 	129344100 	1179883300 	322266200 	5513200 	
102333100 	121109400 	42366800 	740857200 	172351700 	46976300 	146409500 	1141491900 	318259900 	5558500 	
110616300 	105383700 	43175600 	725502200 	162565100 	35490200 	129367000 	1171470000 	326480400 	5370100 	
105591600 	161874200 	41836100 	720121800 	158081400 	35609300 	128703500 	1177859600 	322155000 	5735800 	
107827600 	103314800 	45040700 	736750500 	160134600 	35897700 	131279700 	1142364200 	351405100 	7774900 	
109434800 	119993600 	41593100 	725017200 	158240400 	37672100 	130328900 	1170726700 	344484400 	5591300 	
106494300 	116007000 	43164000 	749897100 	183121400 	35235800 	131065100 	1143969500 	322977800 	5500200 	
103920400 	141727500 	43545300 	738602900 	158809300 	34721500 	128152200 	1191515200 	320744300 	5498600 	
104974000 	114146700 	47526300 	730849300 	162589600 	38115000 	153653300 	1148347700 	323226500 	5602600 	
108710900 	93776500 	44066400 	736626400 	162720500 	35236800 	130799600 	1164904700 	347289500 	5498300 	
1072	1178	437	7350	1637	370	1339	11632	3299	57	ms
1.00	0.91	2.45	0.15	0.66	2.90	0.80	0.09	0.33	18.61	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.950000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
121436700 	82679700 	28298300 	739379100 	97417600 	18777200 	66342900 	1162055300 	186248500 	3533600 	
108599400 	80729300 	25928900 	716451000 	96033500 	15746500 	70562300 	1139722400 	182643400 	3163800 	
108250100 	69240100 	27589200 	721899600 	95963600 	16096200 	71952900 	1140148900 	184534600 	3343300 	
105166800 	63354400 	24150200 	735792800 	95739400 	18250300 	69651100 	1148847600 	185026600 	3470000 	
103040600 	78656300 	30007800 	722732900 	96358900 	16180700 	66971500 	1174494200 	206250200 	3253100 	
111844400 	103176700 	27831500 	730566900 	98697000 	15985200 	67495500 	1154764900 	182982400 	3323400 	
111397200 	60035600 	25764500 	737509900 	98115700 	16485400 	70331900 	1152909900 	180204300 	3190100 	
104701300 	53094600 	27861900 	742361400 	98163000 	15622800 	66646200 	1145831400 	185153400 	3358900 	
102581300 	55611700 	27545900 	729335600 	97454900 	18246300 	69360700 	1142562800 	226581100 	4620000 	
109131700 	55401500 	27936100 	745871700 	96885600 	18335900 	68928400 	1163981200 	186465100 	3446400 	
1086	701	272	7321	970	169	688	11525	1906	34	ms
1.00	1.55	3.98	0.15	1.12	6.40	1.58	0.09	0.57	31.30	speedup
