Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
122	953	394	100	353	79	446	325	15	ms
1.00	0.13	0.31	1.21	0.35	1.53	0.27	0.38	8.08	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.700000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
9823200 	68265000 	35600600 	9407300 	38126500 	9392400 	40180100 	31210200 	1366200 	
8765300 	75802000 	38227800 	9067000 	32899700 	8542100 	38106400 	39450400 	1364000 	
16387600 	93695300 	36666100 	8979500 	31886700 	7482700 	37490100 	32840800 	1414700 	
8059700 	72296900 	36128400 	9021600 	44525600 	8926600 	40917600 	41602000 	1375800 	
14650200 	84924600 	36930800 	8880300 	26844600 	7522300 	38859200 	30240400 	1365900 	
8624800 	71913100 	37020400 	9089400 	32372600 	7712300 	37942800 	33411700 	1384100 	
15084700 	88974700 	36692500 	8592600 	31696000 	7252500 	37910300 	32187800 	1422800 	
9206700 	71716100 	38173300 	9026700 	28654300 	8170400 	40046800 	30067800 	1388000 	
14709000 	84756500 	36300500 	8395900 	33807800 	7519000 	40406300 	31436500 	1793500 	
8723600 	71189100 	38042600 	9307900 	32542000 	7543300 	40188800 	40562400 	3027700 	
114	783	369	89	333	80	392	343	15	ms
1.00	0.15	0.31	1.27	0.34	1.42	0.29	0.33	7.17	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.750000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
9882200 	62642800 	29805400 	8008200 	25881300 	6189300 	31695400 	26228700 	1220900 	
9057300 	60474200 	31424600 	8169700 	23752400 	6946100 	32660800 	23120400 	1168300 	
10884500 	61622500 	63261900 	7787700 	28903100 	6634800 	33717500 	19274300 	867900 	
8518000 	62691800 	31949700 	7809600 	29068900 	6496100 	34754800 	31518700 	1211800 	
14003800 	71406900 	30406700 	7430800 	29452500 	6370100 	33019500 	27779300 	1201700 	
8921400 	57611300 	30812700 	7613800 	29074800 	6487800 	33100200 	28471200 	1538400 	
9154200 	58993700 	33010400 	8100800 	40974400 	8395300 	35342300 	36263000 	1205000 	
14039600 	70653000 	28856200 	7865300 	31655900 	6641200 	33868900 	28407700 	1221200 	
9321600 	59948600 	31021400 	7663200 	30551400 	6487900 	34029200 	36387000 	1504700 	
8809800 	58342500 	30602300 	7903100 	34419200 	6421000 	32283400 	28032400 	1193800 	
102	624	341	78	303	67	334	285	12	ms
1.00	0.16	0.30	1.31	0.34	1.53	0.31	0.36	8.32	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.800000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
13953400 	51318600 	17937500 	6965400 	27227100 	5561000 	26231900 	23965500 	1000300 	
9301200 	46097400 	24865800 	6715500 	34630600 	5547900 	29101200 	23997900 	1005600 	
9257000 	46949700 	24764100 	6725500 	26325400 	5366600 	25368100 	23984500 	983700 	
10441800 	46297900 	24997800 	6780600 	25926500 	5343600 	25385500 	25405100 	1014100 	
8518000 	46475800 	25651900 	6819300 	26473700 	5522100 	25546600 	23848600 	996600 	
9094900 	45626800 	26630400 	6846100 	26609300 	5389400 	26806500 	23348700 	987300 	
8834400 	45752000 	24718200 	6489200 	26962900 	5525300 	26120400 	25095800 	1000400 	
8836600 	48183600 	25070700 	7663000 	29171600 	5343500 	27440900 	23903900 	995700 	
8900100 	46206500 	24799500 	6724000 	28700900 	5292600 	26503500 	24096200 	990100 	
8910000 	48962300 	25159100 	6553500 	18988500 	4650300 	25393500 	16497000 	704800 	
96	471	244	68	271	53	263	234	9	ms
1.00	0.20	0.39	1.41	0.35	1.79	0.36	0.41	9.92	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.850000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
10776700 	38664800 	18905900 	5930700 	21068600 	4794900 	21554300 	25022700 	1007900 	
8842200 	33596700 	19088700 	5565400 	19969000 	5068500 	19992300 	18914100 	983000 	
8771600 	33705000 	20729100 	5969200 	20035700 	4076900 	20447900 	20564200 	1132900 	
11759200 	35539200 	19486100 	5688400 	22738500 	4069600 	22017500 	20108100 	790200 	
9145900 	34535300 	19421900 	5587200 	21699700 	3982200 	19814800 	19690200 	773700 	
9119300 	33293600 	20885200 	5769800 	22429300 	4163800 	19744100 	21211600 	776600 	
7153400 	33265600 	18917200 	5543600 	30510900 	4154400 	19340300 	22060400 	783900 	
9355500 	34160700 	19366600 	5601800 	21932700 	4138200 	21012600 	20171000 	803900 	
9646100 	34204600 	22360500 	5636800 	22259800 	4253200 	19691700 	20174200 	764700 	
9543900 	33936900 	30137100 	5366900 	21852900 	4026800 	21153700 	20327300 	795500 	
94	344	209	56	224	42	204	208	8	ms
1.00	0.27	0.45	1.66	0.42	2.20	0.46	0.45	10.93	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.900000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
9401900 	26551300 	11506600 	4480900 	12854300 	2069300 	13137000 	10054500 	1986900 	
9305000 	23769700 	13698100 	4465800 	12997800 	2240500 	13283800 	10414900 	404300 	
8756600 	22354600 	12858800 	4275700 	12702100 	2930900 	14949800 	11869600 	404300 	
