Benchmarking M=512 K=2048 N=8192 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
28102300 	528976500 	223152400 	48177800 	130037500 	41898000 	234041000 	206328800 	6850300 	
39735200 	576056900 	185918800 	56917600 	168309100 	50453300 	244902400 	232999500 	6748700 	
39713700 	530732500 	202448100 	57843400 	161328900 	42881000 	231108600 	208116900 	7831900 	
35708500 	583912700 	179856800 	60323700 	178792500 	38319200 	248039300 	220806000 	6681000 	
40269600 	535374600 	223868000 	57174300 	163724200 	42288600 	235203300 	204292900 	6921100 	
37659400 	543981300 	184878100 	55960100 	163768900 	49565300 	260157400 	228635500 	6758400 	
38961500 	568620700 	188925900 	56529900 	181868200 	41637600 	232141800 	207160200 	6863500 	
39983000 	540355900 	178221800 	57496500 	168310300 	50309100 	260607400 	208651700 	6811000 	
37124900 	555782000 	213547900 	57045600 	167668900 	41137100 	238048300 	206281400 	7011800 	
40044600 	546312600 	177514400 	55807400 	158084500 	39566700 	269538600 	204536800 	6731100 	
377	5510	1958	563	1641	438	2453	2127	69	ms
1.00	0.07	0.19	0.67	0.23	0.86	0.15	0.18	5.45	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.500000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
38819600 	503553600 	162743400 	47338100 	163128900 	48890000 	233903900 	200714200 	6964900 	
41800000 	484224300 	216442200 	53011300 	153751700 	39530700 	218388600 	199556600 	6107100 	
32952900 	510201500 	161044900 	53117700 	156174800 	39136100 	209110800 	249331900 	9612100 	
39002500 	514060900 	185530500 	51548600 	154592000 	40824100 	212394900 	215647600 	6216800 	
37888500 	518401900 	177849900 	54001400 	161225000 	38836500 	214158000 	213470500 	6344100 	
39844500 	501545600 	190690900 	51375300 	165706100 	50691800 	240004300 	210215000 	6143300 	
39021100 	474176900 	189697300 	52358800 	147924500 	40469000 	214474700 	212598900 	6379200 	
38139000 	493108700 	187926800 	53003800 	157230900 	38548000 	213329100 	215523500 	6097200 	
38660200 	492693800 	176162500 	54049700 	162007500 	45530300 	210888400 	200048000 	6213000 	
43043000 	523242200 	175172200 	52315700 	124719100 	39727400 	219236000 	200463000 	7424700 	
389	5015	1823	522	1546	422	2185	2117	67	ms
1.00	0.08	0.21	0.75	0.25	0.92	0.18	0.18	5.77	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.550000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
27150500 	435744600 	131799200 	53510200 	168634000 	36156000 	188452800 	195193000 	9048200 	
52551600 	459030800 	189330600 	47315800 	146247400 	36362200 	192497400 	193407700 	5588400 	
39982900 	492538000 	179983600 	46941900 	144913600 	35603900 	189091900 	210619600 	5886500 	
40315100 	449114700 	135164800 	49046200 	171998000 	44005900 	217016100 	193458900 	5660300 	
50341600 	438184700 	170937700 	48188300 	147460700 	45180700 	188917700 	193283500 	5568300 	
38488600 	450713100 	185241300 	47284100 	150674900 	34831900 	195569800 	208463700 	5727800 	
39872800 	484728100 	178248100 	47839200 	148956100 	48814700 	213996000 	191910700 	5591200 	
35387000 	437211200 	158563800 	49202500 	154824500 	45731000 	201412100 	195275500 	5618600 	
40244400 	481598900 	131701000 	47447400 	156065500 	35492100 	200117100 	193741100 	8444100 	
54152100 	440741400 	165838000 	46933200 	156332800 	35973000 	229162500 	193452300 	5609200 	
418	4569	1626	483	1546	398	2016	1968	62	ms
1.00	0.09	0.26	0.87	0.27	1.05	0.21	0.21	6.67	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.600000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
30066400 	391708900 	140072700 	50298600 	161946200 	30357600 	173732500 	188195400 	5121300 	
45093000 	406390000 	142449100 	35319800 	117287500 	31769500 	172797300 	187970200 	5014100 	
46923400 	425849900 	134164600 	43100800 	146220000 	32145400 	171204900 	185082900 	5065900 	
50270700 	407236700 	125476900 	42668600 	143204300 	30927300 	174160000 	227118100 	5147700 	
49124100 	415880300 	120420000 	42602500 	144076000 	33044100 	190745400 	185823200 	4993800 	
49642900 	399670300 	158674300 	44938700 	156107100 	33454100 	175652600 	207742900 	5159300 	
38814400 	420159400 	169233100 	43810300 	158805400 	31543400 	175863100 	191041900 	7850100 	
38965000 	419710900 	146605300 	42758100 	170105700 	41345900 	175296700 	184073200 	5038300 	
53499000 	397222500 	127162200 	42715600 	153908700 	31164000 	193704600 	198506400 	5032600 	
50280600 	392591300 	114181600 	45524900 	146892200 	32160700 	187128900 	187385000 	5186500 	
452	4076	1378	433	1498	327	1790	1942	53	ms
1.00	0.11	0.33	1.04	0.30	1.38	0.25	0.23	8.44	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.650000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
33746200 	354887900 	101605900 	39223000 	110348300 	27875600 	180263800 	179903500 	4715500 	
48686600 	331693800 	113472000 	39209100 	174214000 	33653600 	173837500 	192408100 	4462500 	
39023200 	323170100 	107943500 	37484400 	136262800 	33051200 	155756300 	176774300 	4443000 	
39706800 	358353600 	138394800 	38298400 	139447600 	35493000 	151881100 	178128800 	4836700 	
49401800 	334457500 	111871900 	39520800 	145093700 	29140900 	151330500 	176255500 	5180600 	
39884700 	378439400 	126666000 	41381500 	161286700 	28829100 	152285600 	180828700 	4545400 	
48503000 	336838200 	142391800 	38763800 	180474800 	28854600 	155076400 	175548100 	5462300 	
39152400 	363169000 	125164200 	38922400 	154759000 	27417300 	155033600 	181249000 	4561500 	
49551200 	368116700 	106247500 	38470500 	136796500 	28371200 	155222500 	179400600 	5379400 	
49215900 	357415200 	108734900 	38256100 	137347800 	29205800 	152631700 	174973300 	4771300 	
436	3506	1182	389	1476	301	1583	1795	48	ms
1.00	0.12	0.37	1.12	0.30	1.45	0.28	0.24	9.03	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.700000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
27245500 	285659200 	121442100 	35172200 	134920600 	32075200 	138164100 	165159100 	4000500 	
