Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
442	1179	346	139	728	135	509	999	15	ms
1.00	0.38	1.28	3.17	0.61	3.27	0.87	0.44	28.09	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.950000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
44254600 	61116700 	33158200 	9792400 	46961600 	5900300 	27510200 	70657900 	1206000 	
43366000 	67087900 	31304600 	8228100 	46034900 	6015600 	25786700 	72542200 	1266100 	
42259100 	66889000 	32685200 	8415500 	61944300 	6943800 	25965400 	75125100 	770700 	
41199200 	66915900 	30502400 	8265100 	50111700 	6244500 	28365600 	75015900 	1213800 	
42569300 	64961300 	33229600 	8072300 	48029600 	6115400 	26110900 	72386900 	1185600 	
44157500 	71780200 	33603100 	10073900 	49845400 	6025400 	26276100 	73405600 	1205200 	
43157600 	58934300 	33129200 	8130200 	48210400 	5851400 	27105900 	46897800 	755300 	
37590300 	59236300 	19051100 	8460800 	49748400 	6151100 	26386000 	65970300 	1182000 	
42189300 	66139100 	33550600 	8257100 	51470000 	6341300 	26934300 	72816100 	1220500 	
42252500 	68633800 	32256200 	8419200 	48811500 	6167300 	26103200 	68193900 	1195200 	
422	651	312	86	501	61	266	693	11	ms
1.00	0.65	1.35	4.91	0.84	6.85	1.59	0.61	37.77	speedup
