Benchmarking M=512 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
134	931	407	106	375	94	445	337	15	ms
1.00	0.14	0.33	1.26	0.36	1.43	0.30	0.40	8.45	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.700000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
10320600 	76833600 	39172400 	9684100 	33533300 	7631300 	39129400 	28042900 	1453900 	
10384200 	74944600 	39576700 	9041200 	46887700 	7965600 	38120800 	38488100 	1390100 	
15616100 	85884600 	33720400 	9153000 	31030100 	7456300 	39692800 	28501400 	1373200 	
8624500 	70368400 	37729600 	9269500 	35432100 	9237900 	42820800 	30039900 	1442800 	
15066000 	85110700 	39972600 	9797900 	42677900 	8838900 	39188200 	36070200 	1886300 	
9654200 	72363500 	37293300 	8977200 	30622400 	7911700 	37737000 	29584400 	1429500 	
14836300 	82945300 	36836300 	8847900 	46774400 	8698700 	41692100 	37269700 	1373300 	
8731300 	70861400 	36814700 	10436700 	35540600 	8122500 	38970500 	29754700 	1387800 	
14622300 	85765400 	38646200 	9698500 	32927500 	7426300 	40679800 	31714700 	1388100 	
9077200 	71028300 	37829600 	8571400 	30217300 	7212100 	37105200 	27717900 	1973500 	
116	776	377	93	365	80	395	317	15	ms
1.00	0.15	0.31	1.25	0.32	1.45	0.30	0.37	7.74	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.750000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
14690900 	64689300 	28720300 	8898000 	31455200 	6421700 	31785700 	27145300 	1181000 	
8727400 	58779700 	31678300 	8758500 	31085800 	6899600 	33489800 	28454500 	1227400 	
8988100 	60519700 	39638500 	7405300 	30312400 	7082200 	33684100 	25934200 	1203600 	
8750100 	58105800 	31683900 	8531600 	31356700 	6405300 	32222200 	26498100 	1166300 	
13873000 	68917700 	33537400 	7635700 	31459700 	6574000 	31384900 	27707000 	1157100 	
8600400 	58005100 	34009700 	8578100 	31408100 	6538200 	33220400 	26194900 	1171000 	
8758100 	58505800 	33861800 	8050200 	36693400 	6833300 	32699500 	27538000 	1199400 	
14186100 	73490700 	32764400 	7647500 	30518200 	6374000 	31756800 	25289000 	1161600 	
9136200 	60904700 	32714400 	7969200 	28950500 	6419100 	33381100 	24502200 	1167700 	
8628200 	60000500 	31491700 	8897600 	30300000 	6266600 	33260700 	26716700 	1262500 	
104	621	330	82	313	65	326	265	11	ms
1.00	0.17	0.32	1.27	0.33	1.59	0.32	0.39	8.77	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.800000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
10217900 	48243100 	25427500 	8890200 	30252200 	5594600 	27105500 	32186100 	1232100 	
8817500 	48124900 	27641500 	7681700 	25801300 	5436900 	26936100 	24273100 	995500 	
8835100 	51263500 	26393200 	7432400 	27026200 	5369500 	27096300 	24117400 	990900 	
9216900 	47186400 	25883400 	7489600 	27168500 	5246100 	28624600 	23356500 	1008700 	
9014200 	47336500 	26056500 	7563600 	37798200 	6272200 	28129700 	23780700 	1007300 	
8965400 	46538500 	26375900 	7619800 	27258600 	5200900 	26586200 	24071000 	1228700 	
15123900 	48174500 	26198400 	7607600 	26569100 	5232600 	26281200 	22163500 	975100 	
8131900 	48282300 	26402300 	7415900 	20319000 	4534600 	26360000 	17616800 	765100 	
9957000 	47441400 	27620900 	7314200 	20407900 	4894500 	24079400 	17459100 	786000 	
9265400 	46018500 	26063000 	7217200 	29481600 	5582100 	25646100 	24660500 	972800 	
97	478	264	76	272	53	266	233	9	ms
1.00	0.20	0.37	1.28	0.36	1.83	0.37	0.42	9.79	speedup
Benchmarking M=512 K=1024 N=4096 Sparsity=0.850000 Variation=0.050000 
PyTorchDense	PyTorchSpCSR	PyTorchSpCSC	EigenSparse	SSR_VEC_TREE	TCSC______	EigenSpars_INT8	SSR_TREE_INT8	TCSC_INT8	
16091500 	42275600 	19197000 	6734400 	22904400 	4049500 	20324800 	19122700 	747700 	
14975000 	50214500 	19302800 	6339200 	23800700 	4854600 	20461900 	20575800 	988200 	
8804500 	33497300 	20195300 	6875900 	22986300 	4665200 	20255400 	25292500 	795500 	
8807800 	34112500 	19906400 	6407000 	23814900 	4186700 	20047600 	17598500 	757800 	
